"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 05","297.87","297.65","299.65","296.08","137.29K","0.64%"
"2023- 01- 04","295.98","288.34","296.70","287.94","109.95M","2.21%"
"2023- 01- 03","289.58","290.64","290.95","284.32","106.62M","-0.07%"
"2023- 01- 02","289.79","292.90","294.02","289.19","92.54M","-0.45%"
"2022- 12- 29","291.10","294.98","295.94","291.10","114.47M","-2.02%"
"2022- 12- 28","297.09","299.36","299.36","296.59","137.29M","-2.34%"
"2022- 12- 27","304.22","303.77","305.02","302.83","122.97M","0.65%"
"2022- 12- 26","302.27","301.76","302.97","300.66","78.88M","0.07%"
"2022- 12- 23","302.07","303.14","304.42","301.47","94.83M","-1.76%"
"2022- 12- 22","307.48","304.66","307.48","303.96","233.31M","1.40%"
"2022- 12- 21","303.23","305.84","305.99","302.92","76.96M","-0.27%"
"2022- 12- 20","304.05","305.65","306.58","302.96","88.75M","-0.89%"
"2022- 12- 19","306.77","306.33","307.99","305.19","77.96M","-0.23%"
"2022- 12- 16","307.48","303.48","307.48","303.09","114.65M","-0.08%"
"2022- 12- 15","307.73","310.73","311.98","307.73","95.26M","-1.76%"
"2022- 12- 14","313.23","310.87","313.41","310.57","83.85M","1.19%"
"2022- 12- 13","309.56","311.26","311.85","308.54","101.88M","-0.03%"
"2022- 12- 12","309.64","309.38","310.69","308.70","85.71M","-0.64%"
"2022- 12- 09","311.63","309.81","312.06","308.76","113.45M","1.10%"
"2022- 12- 08","308.24","308.78","309.00","306.01","121.10M","-0.01%"
"2022- 12- 07","308.27","309.11","310.25","308.08","92.85M","-0.60%"
"2022- 12- 06","310.14","310.90","313.34","309.70","100.04M","-1.20%"
"2022- 12- 05","313.91","316.26","317.07","312.92","113.97M","-0.35%"
"2022- 12- 02","315.02","320.76","320.76","315.02","114.75M","-2.17%"
"2022- 12- 01","322.02","325.37","325.49","321.44","130.32M","0.32%"
"2022- 11- 30","321.00","314.35","321.01","314.20","189.08M","1.72%"
"2022- 11- 29","315.58","311.79","315.74","311.07","94.42M","1.08%"
"2022- 11- 28","312.21","313.89","313.89","311.28","96.04M","-1.22%"
"2022- 11- 25","316.07","317.28","318.10","315.76","102.91M","-0.39%"
"2022- 11- 24","317.30","316.60","317.33","315.27","99.54M","1.02%"
"2022- 11- 23","314.11","314.84","315.24","312.65","148.27M","0.67%"
"2022- 11- 22","312.02","312.88","315.09","311.69","115.97M","-0.84%"
"2022- 11- 21","314.67","317.22","317.65","312.99","123.42M","-0.77%"
"2022- 11- 18","317.12","317.63","320.70","316.70","136.52M","0.12%"
"2022- 11- 17","316.75","319.98","320.35","316.75","157.36M","-1.62%"
"2022- 11- 16","321.96","322.98","322.98","318.02","177.08M","-0.11%"
"2022- 11- 15","322.31","322.76","323.03","319.96","144.81M","0.24%"
"2022- 11- 14","321.53","323.41","324.73","320.86","267.59M","-0.48%"
"2022- 11- 11","323.09","320.47","323.51","319.97","236.34M","3.84%"
"2022- 11- 10","311.13","312.63","314.91","311.13","149.97M","-1.30%"
"2022- 11- 09","315.23","313.40","316.09","312.54","162.13M","1.03%"
"2022- 11- 08","312.01","310.08","312.57","309.21","142.95M","1.34%"
"2022- 11- 07","307.87","306.08","308.15","305.05","148.87M","1.16%"
"2022- 11- 04","304.33","301.16","304.33","299.46","182.72M","0.89%"
"2022- 11- 03","301.66","298.55","303.80","297.62","179.82M","-0.73%"
"2022- 11- 02","303.87","302.49","305.10","302.02","192.34M","0.00%"
